Partida,Data,Adversário,Competição,Minutos Jogados (X),Finalizações Certas (Y),Gols,Assistências
1,19/08/2025,Osasuna,La Liga,77,0,0,0
2,24/08/2025,Oviedo,La Liga,28,1,1,1
3,30/08/2025,Mallorca,La Liga,71,2,1,0
4,13/09/2025,Real Sociedad,La Liga,67,0,0,0
5,20/09/2025,Espanyol,La Liga,76,1,0,1
6,23/09/2025,Levante,La Liga,90,5,1,1
7,27/09/2025,Atlético Madrid,La Liga,90,0,0,1
8,04/10/2025,Villarreal,La Liga,90,3,2,0
9,19/10/2025,Getafe,La Liga,36,0,0,0
10,26/10/2025,FC Barcelona,La Liga,71,1,0,0
11,01/11/2025,Valencia,La Liga,78,2,0,0
12,09/11/2025,Rayo Vallecano,La Liga,90,1,0,0
13,23/11/2025,Elche,La Liga,34,0,0,0
14,30/11/2025,Girona,La Liga,90,1,0,0
15,31/05/2026,Panama,Amistoso Seleção,45,3,1,1
TOTAL,,,,1.081 min,20,6,5
